Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
3.12,2.464767074,0.282225237,2.90987715,0.306633907,3.658507188,0.341865358,4.385642046,0.258642129,0.361593449,0.216531335,0.097858208,0.227219737,0.213588378,0.062826981,0.160323364,0.083816608,0.088758773,0.249312557,0.384894305,0.384795639
3.25,2.476526459,0.293984622,2.922653563,0.319410319,3.672751578,0.356109748,4.396418801,0.269418884,0.370615587,0.225553474,0.115480548,0.209597397,0.228769619,0.078008221,0.170191286,0.09368453,0.10654336,0.23152797,0.400927456,0.400828791
3.38,2.488285844,0.305744007,2.935429975,0.332186732,3.686995968,0.370354137,4.407195557,0.28019564,0.379637726,0.234575612,0.133102887,0.191975058,0.243950859,0.093189462,0.180059208,0.103552452,0.124327948,0.213743382,0.416960608,0.416861942
3.51,2.500045228,0.317503392,2.948206388,0.344963145,3.701240358,0.384598527,4.417972312,0.290972395,0.388659865,0.243597751,0.150725227,0.174352718,0.2591321,0.108370703,0.189927129,0.113420373,0.142112535,0.195958794,0.432993759,0.432895094
3.64,2.511804613,0.329262777,2.960982801,0.357739558,3.715484748,0.398842917,4.428749067,0.30174915,0.397682004,0.25261989,0.168347567,0.156730378,0.274313341,0.123551943,0.199795051,0.123288295,0.159897123,0.178174207,0.449026911,0.448928245
3.77,2.523563998,0.341022162,2.973759214,0.370515971,3.729729137,0.413087307,4.439525823,0.312525906,0.406704143,0.261642029,0.185969906,0.139108038,0.289494581,0.138733184,0.209662973,0.133156217,0.177681711,0.160389619,0.465060063,0.464961397
3.9,2.535323383,0.352781547,2.986535627,0.383292383,3.743973527,0.427331697,4.450302578,0.323302661,0.415726282,0.270664168,0.203592246,0.121485699,0.304675822,0.153914425,0.219530894,0.143024138,0.195466298,0.142605032,0.481093214,0.480994549
4.03,2.547082768,0.364540932,2.999312039,0.396068796,3.758217917,0.441576087,4.461079333,0.334079416,0.424748421,0.279686307,0.221214586,0.103863359,0.319857063,0.169095665,0.229398816,0.15289206,0.213250886,0.124820444,0.497126366,0.4970277
4.16,2.558842153,0.376300317,3.012088452,0.408845209,3.772462307,0.455820477,4.471856089,0.344856172,0.43377056,0.288708446,0.238836926,0.086241019,0.335038303,0.184276906,0.239266738,0.162759982,0.231035473,0.107035856,0.513159518,0.513060852
4.29,2.570601538,0.388059701,3.024864865,0.421621622,3.786706697,0.470064867,4.482632844,0.355632927,0.442792699,0.297730585,0.256459265,0.06861868,0.350219544,0.199458146,0.249134659,0.172627903,0.248820061,0.089251269,0.529192669,0.529094004
4.42,2.582360923,0.399819086,3.037641278,0.434398034,3.800951087,0.484309257,4.4934096,0.366409683,0.451814838,0.306752724,0.274081605,0.05099634,0.365400785,0.214639387,0.259002581,0.182495825,0.266604649,0.071466681,0.545225821,0.545127155
4.55,2.594120308,0.411578471,3.05041769,0.447174447,3.815195477,0.498553647,4.504186355,0.377186438,0.460836977,0.315774863,0.291703945,0.033374,0.380582025,0.229820628,0.268870503,0.192363747,0.284389236,0.053682094,0.561258972,0.561160307
4.68,2.605879692,0.423337856,3.063194103,0.45995086,3.829439867,0.512798036,4.51496311,0.387963193,0.469859116,0.324797002,0.309326284,0.015751661,0.395763266,0.245001868,0.278738424,0.202231668,0.302173824,0.035897506,0.577292124,0.577193458
4.81,2.617639077,0.435097241,3.075970516,0.472727273,3.843684257,0.527042426,4.525739866,0.398739949,0.478881255,0.333819141,0.326948624,0.001870679,0.410944507,0.260183109,0.288606346,0.21209959,0.319958411,0.018112918,0.593325276,0.59322661
4.94,2.629398462,0.446856626,3.088746929,0.485503686,3.857928647,0.541286816,4.536516621,0.409516704,0.487903394,0.34284128,0.344570964,0.019493019,0.426125747,0.27536435,0.298474267,0.221967512,0.337742999,0.000328331,0.609358427,0.609259762
5.07,2.641157847,0.458616011,3.101523342,0.498280098,3.872173036,0.555531206,4.547293376,0.420293459,0.496925533,0.351863419,0.362193304,0.037115359,0.441306988,0.29054559,0.308342189,0.231835433,0.355527587,0.017456257,0.625391579,0.625292913
5.2,2.652917232,0.470375396,3.114299754,0.511056511,3.886417426,0.569775596,4.558070132,0.431070215,0.505947672,0.360885558,0.379815643,0.054737698,0.456488229,0.305726831,0.318210111,0.241703355,0.373312174,0.035240844,0.641424731,0.641326065
5.33,2.664676617,0.482134781,3.127076167,0.523832924,3.900661816,0.584019986,4.568846887,0.44184697,0.514969811,0.369907697,0.397437983,0.072360038,0.471669469,0.320908072,0.328078032,0.251571277,0.391096762,0.053025432,0.657457882,0.657359217
5.46,2.676436002,0.493894166,3.13985258,0.536609337,3.914906206,0.598264376,4.579623643,0.452623725,0.523991949,0.378929836,0.415060323,0.089982378,0.48685071,0.336089312,0.337945954,0.261439198,0.408881349,0.07081002,0.673491034,0.673392368
5.59,2.688195387,0.50565355,3.152628993,0.549385749,3.929150596,0.612508766,4.590400398,0.463400481,0.533014088,0.387951974,0.432682662,0.107604717,0.502031951,0.351270553,0.347813876,0.27130712,0.426665937,0.088594607,0.689524185,0.68942552
5.72,2.699954772,0.517412935,3.165405405,0.562162162,3.943394986,0.626753156,4.601177153,0.474177236,0.542036227,0.396974113,0.450305002,0.125227057,0.517213191,0.366451794,0.357681797,0.281175042,0.444450525,0.106379195,0.705557337,0.705458671
5.85,2.711714156,0.52917232,3.178181818,0.574938575,3.957639376,0.640997546,4.611953909,0.484953992,0.551058366,0.405996252,0.467927342,0.142849397,0.532394432,0.381633034,0.367549719,0.291042963,0.462235112,0.124163782,0.721590489,0.721491823
5.98,2.723473541,0.540931705,3.190958231,0.587714988,3.971883766,0.655241935,4.622730664,0.495730747,0.560080505,0.415018391,0.485549681,0.160471736,0.547575673,0.396814275,0.377417641,0.300910885,0.4800197,0.14194837,0.73762364,0.737524975
6.11,2.735232926,0.55269109,3.203734644,0.6004914,3.986128156,0.669486325,4.633507419,0.506507502,0.569102644,0.42404053,0.503172021,0.178094076,0.562756913,0.411995516,0.387285562,0.310778807,0.497804287,0.159732958,0.753656792,0.753558126
6.24,2.746992311,0.564450475,3.216511057,0.613267813,4.000372546,0.683730715,4.644284175,0.517284258,0.578124783,0.433062669,0.520794361,0.195716416,0.577938154,0.427176756,0.397153484,0.320646728,0.515588875,0.177517545,0.769689944,0.769591278
6.37,2.758751696,0.57620986,3.229287469,0.626044226,4.014616935,0.697975105,4.65506093,0.528061013,0.587146922,0.442084808,0.538416701,0.213338756,0.593119395,0.442357997,0.407021406,0.33051465,0.533373463,0.195302133,0.785723095,0.78562443
6.5,2.770511081,0.587969245,3.242063882,0.638820639,4.028861325,0.712219495,4.665837685,0.538837768,0.596169061,0.451106947,0.55603904,0.230961095,0.608300635,0.457539238,0.416889327,0.340382572,0.55115805,0.21308672,0.801756247,0.801657581
6.63,2.782270466,0.59972863,3.254840295,0.651597052,4.043105715,0.726463885,4.676614441,0.549614524,0.6051912,0.460129086,0.57366138,0.248583435,0.623481876,0.472720478,0.426757249,0.350250493,0.568942638,0.230871308,0.817789398,0.817690733
6.76,2.794029851,0.611488014,3.267616708,0.664373464,4.057350105,0.740708275,4.687391196,0.560391279,0.614213339,0.469151225,0.59128372,0.266205775,0.638663117,0.487901719,0.436625171,0.360118415,0.586727225,0.248655896,0.83382255,0.833723884
6.89,2.805789236,0.623247399,3.28039312,0.677149877,4.071594495,0.754952665,4.698167952,0.571168034,0.623235478,0.478173364,0.608906059,0.283828114,0.653844357,0.50308296,0.446493092,0.369986337,0.604511813,0.266440483,0.849855702,0.849757036
7.02,2.817548621,0.635006784,3.293169533,0.68992629,4.085838885,0.769197055,4.708944707,0.58194479,0.632257617,0.487195503,0.626528399,0.301450454,0.669025598,0.5182642,0.456361014,0.379854258,0.622296401,0.284225071,0.865888853,0.865790188
7.15,2.829308005,0.646766169,3.305945946,0.702702703,4.100083275,0.783441445,4.719721462,0.592721545,0.641279756,0.496217642,0.644150739,0.319072794,0.684206839,0.533445441,0.466228936,0.38972218,0.640080988,0.302009658,0.881922005,0.881823339
7.28,2.84106739,0.658525554,3.318722359,0.715479115,4.114327665,0.797685835,4.730498218,0.603498301,0.650301895,0.505239781,0.661773078,0.336695134,0.699388079,0.548626682,0.476096857,0.399590102,0.657865576,0.319794246,0.897955157,0.897856491
7.41,2.852826775,0.670284939,3.331498771,0.728255528,4.128572055,0.811930224,4.741274973,0.614275056,0.659324034,0.51426192,0.679395418,0.354317473,0.71456932,0.563807922,0.485964779,0.409458023,0.675650163,0.337578834,0.913988308,0.913889643
7.54,2.86458616,0.682044324,3.344275184,0.741031941,4.142816445,0.826174614,4.752051728,0.625051811,0.668346173,0.523284059,0.697017758,0.371939813,0.729750561,0.578989163,0.495832701,0.419325945,0.693434751,0.355363421,0.93002146,0.929922794
7.67,2.876345545,0.693803709,3.357051597,0.753808354,4.157060835,0.840419004,4.762828484,0.635828567,0.677368311,0.532306198,0.714640098,0.389562153,0.744931801,0.594170404,0.505700622,0.429193867,0.711219339,0.373148009,0.946054611,0.945955946
7.8,2.88810493,0.705563094,3.36982801,0.766584767,4.171305224,0.854663394,4.773605239,0.646605322,0.68639045,0.541328336,0.732262437,0.407184492,0.760113042,0.609351644,0.515568544,0.439061788,0.729003926,0.390932596,0.962087763,0.961989097
7.93,2.899864315,0.717322479,3.382604423,0.779361179,4.185549614,0.868907784,4.784381995,0.657382077,0.695412589,0.550350475,0.749884777,0.424806832,0.775294283,0.624532885,0.525436466,0.44892971,0.746788514,0.408717184,0.978120915,0.978022249
8.06,2.9116237,0.729081863,3.395380835,0.792137592,4.199794004,0.883152174,4.79515875,0.668158833,0.704434728,0.559372614,0.767507117,0.442429172,0.790475523,0.639714126,0.535304387,0.458797632,0.764573101,0.426501772,0.994154066,0.994055401
8.19,2.923383085,0.740841248,3.408157248,0.804914005,4.214038394,0.897396564,4.805935505,0.678935588,0.713456867,0.568394753,0.785129456,0.460051511,0.805656764,0.654895366,0.545172309,0.468665553,0.782357689,0.444286359,1.010187218,1.010088552
8.32,2.935142469,0.752600633,3.420933661,0.817690418,4.228282784,0.911640954,4.816712261,0.689712344,0.722479006,0.577416892,0.802751796,0.477673851,0.820838004,0.670076607,0.555040231,0.478533475,0.800142277,0.462070947,1.02622037,1.026121704
8.45,2.946901854,0.764360018,3.433710074,0.83046683,4.242527174,0.925885344,4.827489016,0.700489099,0.731501145,0.586439031,0.820374136,0.495296191,0.836019245,0.685257848,0.564908152,0.488401397,0.817926864,0.479855534,1.042253521,1.042154856
8.58,2.958661239,0.776119403,3.446486486,0.843243243,4.256771564,0.940129734,4.838265771,0.711265854,0.740523284,0.59546117,0.837996476,0.512918531,0.851200486,0.700439088,0.574776074,0.498269318,0.835711452,0.497640122,1.058286673,1.058188007
8.71,2.970420624,0.787878788,3.459262899,0.856019656,4.271015954,0.954374123,4.849042527,0.72204261,0.749545423,0.604483309,0.855618815,0.53054087,0.866381726,0.715620329,0.584643996,0.50813724,0.85349604,0.51542471,1.074319824,1.074221159
8.84,2.982180009,0.799638173,3.472039312,0.868796069,4.285260344,0.968618513,4.859819282,0.732819365,0.758567562,0.613505448,0.873241155,0.54816321,0.881562967,0.73080157,0.594511917,0.518005162,0.871280627,0.533209297,1.090352976,1.09025431
8.97,2.993939394,0.811397558,3.484815725,0.881572482,4.299504734,0.982862903,4.870596037,0.74359612,0.767589701,0.622527587,0.890863495,0.56578555,0.896744208,0.74598281,0.604379839,0.527873083,0.889065215,0.550993885,1.106386128,1.106287462
9.1,3.005698779,0.823156943,3.497592138,0.894348894,4.313749123,0.997107293,4.881372793,0.754372876,0.77661184,0.631549726,0.908485834,0.583407889,0.911925448,0.761164051,0.614247761,0.537741005,0.906849802,0.568778472,1.122419279,1.122320614
9.23,3.017458164,0.834916327,3.51036855,0.907125307,4.327993513,1.011351683,4.892149548,0.765149631,0.785633979,0.640571865,0.926108174,0.601030229,0.927106689,0.776345291,0.624115682,0.547608927,0.92463439,0.58656306,1.138452431,1.138353765
9.36,3.029217549,0.846675712,3.523144963,0.91990172,4.342237903,1.025596073,4.902926304,0.775926386,0.794656118,0.649594004,0.943730514,0.618652569,0.94228793,0.791526532,0.633983604,0.557476848,0.942418978,0.604347648,1.154485582,1.154386917
9.49,3.040976934,0.858435097,3.535921376,0.932678133,4.356482293,1.039840463,4.913703059,0.786703142,0.803678257,0.658616143,0.961352853,0.636274908,0.95746917,0.806707773,0.643851526,0.56734477,0.960203565,0.622132235,1.170518734,1.170420069
9.62,3.052736318,0.870194482,3.548697789,0.945454545,4.370726683,1.054084853,4.924479814,0.797479897,0.812700396,0.667638282,0.978975193,0.653897248,0.972650411,0.821889013,0.653719447,0.577212692,0.977988153,0.639916823,1.186551886,1.18645322
9.75,3.064495703,0.881953867,3.561474201,0.958230958,4.384971073,1.068329243,4.93525657,0.808256653,0.821722535,0.676660421,0.996597533,0.671519588,0.987831652,0.837070254,0.663587369,0.587080613,0.99577274,0.65770141,1.202585037,1.202486372
10.03717456,3.098378,0.915836164,3.580278,0.977034757,4.426711,1.11006917,4.961953,0.834953083,0.834132,0.835774,1.02788,1.0443,1.297181,1.354651,0.824279,0.743822,1.004918,1.009844,1.182262,1.182262
10.10823294,3.121366,0.938824164,3.593414,0.990170757,4.439846,1.12320417,4.980014,0.853014083,0.8407,0.842342,1.02788,1.0443,1.293897,1.351367,0.837415,0.756958,1.004918,1.009844,1.182262,1.182262
10.1059636,3.123008,0.940466164,3.601624,0.998380757,4.449698,1.13305617,4.986582,0.859582083,0.843984,0.845626,1.031164,1.047584,1.297181,1.354651,0.824279,0.743822,1.004918,1.009844,1.182262,1.182262
10.38359925,3.147637,0.965095164,3.624611,1.021367757,4.482537,1.16589517,5.003001,0.876001083,0.847268,0.84891,1.041016,1.057436,1.313601,1.371071,0.840699,0.760242,1.027906,1.032832,1.205251,1.205251
10.81725079,3.18376,1.001218164,3.668944,1.065700757,4.518661,1.20201917,5.037482,0.910482083,0.873539,0.875181,1.172374,1.188794,1.385849,1.443319,0.876822,0.796365,1.182256,1.187182,1.300489,1.300489
11.2136717,3.20018,1.017638164,3.700141,1.096897757,4.56053,1.24388817,5.065395,0.938395083,0.939219,0.940861,1.182226,1.198646,1.441677,1.499147,0.947428,0.866971,1.182256,1.187182,1.369454,1.369454
11.2136717,3.206748,1.024206164,3.698499,1.095255757,4.558067,1.24142517,5.05226,0.925260083,0.932651,0.934293,1.178942,1.195362,1.441677,1.499147,0.945786,0.865329,1.18554,1.190466,1.369454,1.369454
11.16864086,3.213316,1.030774164,3.703425,1.100181757,4.559709,1.24306717,5.062111,0.935111083,0.935935,0.937577,1.175658,1.192078,1.441677,1.499147,0.945786,0.865329,1.182256,1.187182,1.369454,1.369454
11.1424729,3.206748,1.024206164,3.705067,1.101823757,4.566277,1.24963517,5.068679,0.941679083,0.935935,0.937577,1.178942,1.195362,1.444961,1.502431,0.955638,0.875181,1.182256,1.187182,1.372738,1.372738
12.31074348,3.28392,1.101378164,3.792091,1.188847757,4.636881,1.32023917,5.160628,1.033628083,1.021319,1.022961,1.40882,1.42524,1.58289,1.64036,1.008182,0.927725,1.43677,1.441696,1.507385,1.507385
11.92581098,3.28392,1.101378164,3.790449,1.187205757,4.633598,1.31695617,5.145851,1.018851083,1.024603,1.026245,1.412104,1.428524,1.576322,1.633792,1.011466,0.931009,1.441696,1.446622,1.513953,1.513953
12.15174946,3.285562,1.103020164,3.801942,1.198698757,4.659869,1.34322717,5.147492,1.020492083,1.021319,1.022961,1.40882,1.42524,1.576322,1.633792,1.01475,0.934293,1.441696,1.446622,1.510669,1.510669
12.23521838,3.30855,1.126008164,3.821646,1.218402757,4.689424,1.37278217,5.158986,1.031986083,1.027887,1.029529,1.412104,1.428524,1.592742,1.650212,1.018034,0.937577,1.441696,1.446622,1.523805,1.523805
13.01033085,3.354525,1.171983164,3.88404,1.280796757,4.743609,1.42696717,5.196751,1.069751083,1.073862,1.075504,1.415388,1.431808,1.707682,1.765152,1.067293,0.986836,1.44498,1.449906,1.661736,1.661736
13.02160559,3.398858,1.216316164,3.95136,1.348116757,4.807645,1.49100317,5.250935,1.123935083,1.116554,1.118196,1.612425,1.628845,1.770078,1.827548,1.119837,1.03938,1.642023,1.646949,1.750406,1.750406
13.97081736,3.449758,1.267216164,4.005545,1.402301757,4.860188,1.54354617,5.278848,1.151848083,1.149394,1.151036,1.655117,1.671537,1.842326,1.899796,1.165813,1.085356,1.674863,1.679789,1.812803,1.812803
14.57431258,3.471925,1.289383164,4.05152,1.448276757,4.907805,1.59116317,5.320718,1.193718083,1.169098,1.17074,1.661685,1.678105,1.898154,1.955624,1.205221,1.124764,1.674863,1.679789,1.855496,1.855496
14.71926547,3.479314,1.296772164,4.053162,1.449918757,4.912731,1.59608917,5.314971,1.187971083,1.169098,1.17074,1.664969,1.681389,1.901438,1.958908,1.201937,1.12148,1.678147,1.683073,1.85878,1.85878
15.15547006,3.502301,1.319759164,4.081075,1.477831757,4.939002,1.62236017,5.334674,1.207674083,1.169098,1.17074,1.674821,1.691241,1.940846,1.998316,1.221641,1.141184,1.678147,1.683073,1.911325,1.911325
15.03377769,3.500659,1.318117164,4.081075,1.477831757,4.940644,1.62400217,5.328106,1.201106083,1.172382,1.174024,1.678105,1.694525,1.94413,2.0016,1.205221,1.124764,1.674863,1.679789,1.911325,1.911325
14.96428017,3.507227,1.324685164,4.081075,1.477831757,4.93736,1.62071817,5.334674,1.207674083,1.16253,1.164172,1.681389,1.697809,1.940846,1.998316,1.198653,1.118196,1.678147,1.683073,1.914609,1.914609
15.0296644,3.507227,1.324685164,4.081075,1.477831757,4.943928,1.62728617,5.332212,1.205212083,1.169098,1.17074,1.678105,1.694525,1.94413,2.0016,1.208505,1.128048,1.681431,1.686357,1.911325,1.911325
15.32800912,3.517079,1.334537164,4.102421,1.499177757,4.980051,1.66340917,5.3396,1.212600083,1.169098,1.17074,1.681389,1.697809,1.940846,1.998316,1.205221,1.124764,1.681431,1.686357,1.914609,1.914609
15.4538135,3.518721,1.336179164,4.115556,1.512312757,4.975125,1.65848317,5.354378,1.227378083,1.16253,1.164172,1.681389,1.697809,1.94413,2.0016,1.205221,1.124764,1.681431,1.686357,1.917893,1.917893
15.6025256,3.533498,1.350956164,4.130334,1.527090757,4.988261,1.67161917,5.370797,1.243797083,1.21179,1.213432,1.681389,1.697809,1.970402,2.027872,1.247912,1.167455,1.681431,1.686357,1.977006,1.977006
15.62578482,3.544171,1.361629164,4.148395,1.545151757,5.006323,1.68968117,5.40692,1.279920083,1.257766,1.259408,1.888278,1.904698,1.99339,2.05086,1.284036,1.203579,1.886685,1.891611,1.996711,1.996711
16.16368408,3.594251,1.411709164,4.19437,1.591126757,5.058865,1.74222317,5.489018,1.362018083,1.270902,1.272544,1.917834,1.934254,2.085343,2.142813,1.326728,1.246271,1.911315,1.916241,2.026268,2.026268
16.33870486,3.696053,1.513511164,4.200938,1.597694757,5.07118,1.75453817,5.488196,1.361196083,1.27747,1.279112,1.921118,1.937538,2.082059,2.139529,1.323444,1.242987,1.914599,1.919525,2.029552,2.029552
16.48855051,3.709189,1.526647164,4.210789,1.607545757,5.085137,1.76849517,5.512005,1.385005083,1.280753,1.282395,1.917834,1.934254,2.082059,2.139529,1.333296,1.252839,1.908031,1.912957,2.029552,2.029552
16.63917595,3.719041,1.536499164,4.227209,1.623965757,5.103198,1.78655617,5.538276,1.411276083,1.270902,1.272544,1.911266,1.927686,2.085343,2.142813,1.339864,1.259407,1.914599,1.919525,2.029552,2.029552
16.77186,3.725608,1.543066164,4.233777,1.630533757,5.109766,1.79312417,5.547307,1.420307083,1.274186,1.275828,1.917834,1.934254,2.085343,2.142813,1.326728,1.246271,1.911315,1.916241,2.029552,2.029552
16.78448323,3.723966,1.541424164,4.235419,1.632175757,5.108124,1.79148217,5.542381,1.415381083,1.274186,1.275828,1.917834,1.934254,2.082059,2.139529,1.323444,1.242987,1.911315,1.916241,2.029552,2.029552
17.01425064,3.752701,1.570159164,4.263332,1.660088757,5.1385,1.82185817,5.562905,1.435905083,1.27747,1.279112,1.921118,1.937538,2.137887,2.195357,1.339864,1.259407,1.911315,1.916241,2.121505,2.121505
17.26529326,3.75188,1.569338164,4.271542,1.668298757,5.152457,1.83581517,5.561263,1.434263083,1.274186,1.275828,1.921118,1.937538,2.151023,2.208493,1.330012,1.249555,1.911315,1.916241,2.124789,2.124789
17.40109777,3.774867,1.592325164,4.286319,1.683075757,5.168877,1.85223517,5.569473,1.442473083,1.280753,1.282395,1.999933,2.016353,2.160875,2.218345,1.330012,1.249555,2.003268,2.008194,2.128073,2.128073
18.26386217,3.824126,1.641584164,4.34543,1.742186757,5.362628,2.04598617,5.618731,1.491731083,1.474509,1.476151,2.0886,2.10502,2.259395,2.316865,1.507347,1.42689,2.128062,2.132988,2.200323,2.200323
18.31605703,3.84383,1.661288164,4.361849,1.758605757,5.365912,2.04927017,5.643361,1.516361083,1.464657,1.466299,2.0886,2.10502,2.262679,2.320149,1.520483,1.440026,2.11821,2.123136,2.200323,2.200323
18.27286853,3.847935,1.665393164,4.371701,1.768457757,5.375764,2.05912217,5.631867,1.504867083,1.464657,1.466299,2.095168,2.111588,2.262679,2.320149,1.513915,1.433458,2.123136,2.128062,2.200323,2.200323
