TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),,Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
,,,7.2,,1.355330996,,1.401676667,,1.271596007,,1.484283005,,0.110638652,,0.1442828,,0.122603069,,0.067280101,,0.092699993,,
,,,7.4,,1.392979079,,1.44061213,,1.306918118,,1.525513089,,0.113711948,,0.148290655,,0.12600871,,0.069148993,,0.095274993,,
,,,7.6,,1.430627162,,1.479547593,,1.34224023,,1.566743172,,0.116785243,,0.152298511,,0.129414351,,0.071017885,,0.097849992,,
,,,7.8,,1.468275245,,1.518483056,,1.377562341,,1.607973256,,0.119858539,,0.156306367,,0.132819992,,0.072886776,,0.100424992,,
,,,8,,1.505923328,,1.557418519,,1.412884452,,1.649203339,,0.122931835,,0.160314222,,0.136225633,,0.074755668,,0.102999992,,
,,,8.2,,1.543571412,,1.596353982,,1.448206564,,1.690433423,,0.126005131,,0.164322078,,0.139631273,,0.07662456,,0.105574992,,
,,,8.4,,1.581219495,,1.635289444,,1.483528675,,1.731663506,,0.129078427,,0.168329933,,0.143036914,,0.078493451,,0.108149992,,
,,,8.6,,1.618867578,,1.674224907,,1.518850786,,1.77289359,,0.132151723,,0.172337789,,0.146442555,,0.080362343,,0.110724991,,
,,,8.8,,1.656515661,,1.71316037,,1.554172898,,1.814123673,,0.135225019,,0.176345644,,0.149848196,,0.082231235,,0.113299991,,
,,,9,,1.694163744,,1.752095833,,1.589495009,,1.855353757,,0.138298315,,0.1803535,,0.153253837,,0.084100127,,0.115874991,,
,,,9.2,,1.731811828,,1.791031296,,1.62481712,,1.89658384,,0.141371611,,0.184361355,,0.156659477,,0.085969018,,0.118449991,,
,,,9.4,,1.769459911,,1.829966759,,1.660139231,,1.937813923,,0.144444906,,0.188369211,,0.160065118,,0.08783791,,0.121024991,,
,,,9.6,,1.807107994,,1.868902222,,1.695461343,,1.979044007,,0.147518202,,0.192377066,,0.163470759,,0.089706802,,0.12359999,,
,,,9.8,,1.844756077,,1.907837685,,1.730783454,,2.02027409,,0.150591498,,0.196384922,,0.1668764,,0.091575693,,0.12617499,,
,,,10,,1.88240416,,1.946773148,,1.766105565,,2.061504174,,0.153664794,,0.200392778,,0.170282041,,0.093444585,,0.12874999,,
,,,10.2,,1.920052244,,1.985708611,,1.801427677,,2.102734257,,0.15673809,,0.204400633,,0.173687682,,0.095313477,,0.13132499,,
,,,10.4,,1.957700327,,2.024644074,,1.836749788,,2.143964341,,0.159811386,,0.208408489,,0.177093322,,0.097182368,,0.13389999,,
,,,10.6,,1.99534841,,2.063579537,,1.872071899,,2.185194424,,0.162884682,,0.212416344,,0.180498963,,0.09905126,,0.136474989,,
,,,10.8,,2.032996493,,2.102515,,1.907394011,,2.226424508,,0.165957978,,0.2164242,,0.183904604,,0.100920152,,0.139049989,,
,,,11,,2.070644577,,2.141450463,,1.942716122,,2.267654591,,0.169031273,,0.220432055,,0.187310245,,0.102789044,,0.141624989,,
,,,11.2,,2.10829266,,2.180385926,,1.978038233,,2.308884675,,0.172104569,,0.224439911,,0.190715886,,0.104657935,,0.144199989,,
,,,11.4,,2.145940743,,2.219321389,,2.013360345,,2.350114758,,0.175177865,,0.228447766,,0.194121526,,0.106526827,,0.146774988,,
,,,11.6,,2.183588826,,2.258256852,,2.048682456,,2.391344842,,0.178251161,,0.232455622,,0.197527167,,0.108395719,,0.149349988,,
